nif	discografica	email	web
D44460802P	Sony Music	sonymusic@sony.es	https://www.sonymusic.es
E46903680X	Universal Music Group	universalmusic@umg.com	https://www.universalmusic.com
F39115993P	Warner Music Group	warnermusic@warner.com	https://www.warnermusic.com
G34878926R	EMI	emi@emi.com	https://www.emi.com
H37056648Z	Subterfuge Records	subrecords@subrec.com	https://www.subrecords.com
I46646465G	PolyGram	polygram@polygram.com	https://www.polygram.com
J46032381C	Perro Records	perrorecords@mgqp.es	https://www.perrorecords.es
K42212511J	PIAS Recordings	piasrec@pias.es	https://www.piasrec.es
L38965413D	Virgin Records	virgin@records.com	https://www.virgin.com
M34189531P	RCA Records	rca@rca.com	https://www.rca.com
N34061415W	Warner Bros. Records	wbros@warner.com	https://www.wbros.cpm
A47748482E	Mute Records	muterec@mute.com	https://www.muterec.com
B46518169W	BMG Rights Management	bmgrm@bmg.com	https://www.bmgrm.com
C41335400F	Discos Belter	dbelter@belter.es	https://www.dbelter.es
D47132492H	Altafonte Network	altanet@altanet.es	https://www.altanet.es
E35626261C	Elefant Records	elefant@elerec.fr	https://www.elefant.fr
F44763825Y	Rock Indiana	rockindi@rindi.com	https://www.rockindi.com
G40910347V	Columbia Records	columbiarec@columbia.com	https://www.columbiarec.com
H36260258E	Epic Records	epic@epic.com	https://www.epic.com
