codi_municipi	nom_municipi	codi_provincia	nom_provincia
14	Alegría-Dulantzi	1	Àlaba
29	Amurrio	1	Àlaba
35	Aramaio	1	Àlaba
40	Artziniega	1	Àlaba
66	Armiñón	1	Àlaba
88	Arratzua-Ubarrundia	1	Àlaba
91	Asparrena	1	Àlaba
105	Ayala/Aiara	1	Àlaba
112	Baños de Ebro/Mañueta	1	Àlaba
133	Barrundia	1	Àlaba
148	Berantevilla	1	Àlaba
164	Bernedo	1	Àlaba
170	Campezo/Kanpezu	1	Àlaba
186	Zigoitia	1	Àlaba
199	Kripan	1	Àlaba
203	Kuartango	1	Àlaba
210	Elburgo/Burgelu	1	Àlaba
225	Elciego	1	Àlaba
231	Elvillar/Bilar	1	Àlaba
278	Iruraiz-Gauna	1	Àlaba
284	Labastida/Bastida	1	Àlaba
301	Lagrán	1	Àlaba
318	Laguardia	1	Àlaba
323	Lanciego/Lantziego	1	Àlaba
339	Lapuebla de Labarca	1	Àlaba
344	Leza	1	Àlaba
360	Laudio/Llodio	1	Àlaba
376	Arraia-Maeztu	1	Àlaba
395	Moreda de Álava/Moreda Araba	1	Àlaba
416	Navaridas	1	Àlaba
421	Okondo	1	Àlaba
437	Oyón-Oion	1	Àlaba
442	Peñacerrada-Urizaharra	1	Àlaba
468	Erriberagoitia/Ribera Alta	1	Àlaba
474	Erriberabeitia	1	Àlaba
493	Añana	1	Àlaba
513	Agurain/Salvatierra	1	Àlaba
528	Samaniego	1	Àlaba
534	San Millán/Donemiliaga	1	Àlaba
549	Urkabustaiz	1	Àlaba
552	Valdegovía/Gaubea	1	Àlaba
565	Harana/Valle de Arana	1	Àlaba
571	Villabuena de Álava/Eskuernaga	1	Àlaba
587	Legutio	1	Àlaba
590	Vitoria-Gasteiz	1	Àlaba
604	Yécora/Iekora	1	Àlaba
611	Zalduondo	1	Àlaba
626	Zambrana	1	Àlaba
632	Zuia	1	Àlaba
9015	Iruña Oka/Iruña de Oca	1	Àlaba
9020	Lantarón	1	Àlaba
19	Abengibre	2	Albacete
24	Alatoz	2	Albacete
30	Albacete	2	Albacete
45	Albatana	2	Albacete
58	Alborea	2	Albacete
61	Alcadozo	2	Albacete
77	Alcalá del Júcar	2	Albacete
83	Alcaraz	2	Albacete
96	Almansa	2	Albacete
100	Alpera	2	Albacete
117	Ayna	2	Albacete
122	Balazote	2	Albacete
138	Balsa de Ves	2	Albacete
143	Ballestero, El	2	Albacete
156	Barrax	2	Albacete
